text,label
نتائج الاختبارات متاحة الآن عبر البوابة,legitimate
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
تم إرسال الفاتورة الشهرية الخاصة بك,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
شكراً لتواصلك معنا,legitimate
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
تم إرسال الفاتورة الشهرية الخاصة بك,legitimate
تذكير بموعد الصيانة الدورية,legitimate
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
دعوة لحضور ورشة العمل القادمة,legitimate
تم إرسال الفاتورة الشهرية الخاصة بك,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
تم استلام طلبك وسيتم التواصل معك قريباً,legitimate
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
تم استلام طلبك وسيتم التواصل معك قريباً,legitimate
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
تمت إضافة تعليق جديد على طلبك,legitimate
تم تأكيد حجزك بنجاح,legitimate
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
شكراً لتواصلك معنا,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
شكراً لتواصلك معنا,legitimate
يرجى تحديث كلمة المرور الخاصة بك فوراً لتجنب إيقاف الحساب,phishing
تمت إضافة تعليق جديد على طلبك,legitimate
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
شكراً لتواصلك معنا,legitimate
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
تم تأكيد حجزك بنجاح,legitimate
تم إرسال الفاتورة الشهرية الخاصة بك,legitimate
نتائج الاختبارات متاحة الآن عبر البوابة,legitimate
يرجى تحديث كلمة المرور الخاصة بك فوراً لتجنب إيقاف الحساب,phishing
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
تم استلام طلبك وسيتم التواصل معك قريباً,legitimate
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
تم تأكيد حجزك بنجاح,legitimate
تم تأكيد حجزك بنجاح,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
دعوة لحضور ورشة العمل القادمة,legitimate
شكراً لتواصلك معنا,legitimate
دعوة لحضور ورشة العمل القادمة,legitimate
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
دعوة لحضور ورشة العمل القادمة,legitimate
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
تم تأكيد حجزك بنجاح,legitimate
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
دعوة لحضور ورشة العمل القادمة,legitimate
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
نتائج الاختبارات متاحة الآن عبر البوابة,legitimate
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
تم تأكيد حجزك بنجاح,legitimate
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
تم استلام طلبك وسيتم التواصل معك قريباً,legitimate
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
تم إرسال الفاتورة الشهرية الخاصة بك,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
تذكير بموعد الصيانة الدورية,legitimate
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
تمت إضافة تعليق جديد على طلبك,legitimate
تم تأكيد حجزك بنجاح,legitimate
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
تمت إضافة تعليق جديد على طلبك,legitimate
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
يرجى تحديث كلمة المرور الخاصة بك فوراً لتجنب إيقاف الحساب,phishing
نتائج الاختبارات متاحة الآن عبر البوابة,legitimate
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
سيتم حذف حسابك إذا لم يتم التحقق فوراً,phishing
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
دعوة لحضور ورشة العمل القادمة,legitimate
دعوة لحضور ورشة العمل القادمة,legitimate
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
تذكير بموعد الصيانة الدورية,legitimate
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
تم تأكيد حجزك بنجاح,legitimate
سيتم حذف حسابك إذا لم يتم التحقق فوراً,phishing
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
يرجى تحديث كلمة المرور الخاصة بك فوراً لتجنب إيقاف الحساب,phishing
تذكير بموعد الصيانة الدورية,legitimate
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
يرجى تحديث كلمة المرور الخاصة بك فوراً لتجنب إيقاف الحساب,phishing
تمت إضافة تعليق جديد على طلبك,legitimate
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
يرجى تحديث كلمة المرور الخاصة بك فوراً لتجنب إيقاف الحساب,phishing
يرجى تحديث كلمة المرور الخاصة بك فوراً لتجنب إيقاف الحساب,phishing
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
تمت إضافة تعليق جديد على طلبك,legitimate
تم تأكيد حجزك بنجاح,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
يرجى تحديث كلمة المرور الخاصة بك فوراً لتجنب إيقاف الحساب,phishing
تم تأكيد حجزك بنجاح,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
تم إرسال الفاتورة الشهرية الخاصة بك,legitimate
دعوة لحضور ورشة العمل القادمة,legitimate
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
تم استلام طلبك وسيتم التواصل معك قريباً,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
نتائج الاختبارات متاحة الآن عبر البوابة,legitimate
تم استلام طلبك وسيتم التواصل معك قريباً,legitimate
تذكير بموعد الصيانة الدورية,legitimate
يرجى تحديث كلمة المرور الخاصة بك فوراً لتجنب إيقاف الحساب,phishing
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
شكراً لتواصلك معنا,legitimate
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
نتائج الاختبارات متاحة الآن عبر البوابة,legitimate
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
دعوة لحضور ورشة العمل القادمة,legitimate
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
سيتم حذف حسابك إذا لم يتم التحقق فوراً,phishing
تذكير بموعد الصيانة الدورية,legitimate
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
تم استلام طلبك وسيتم التواصل معك قريباً,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
تمت إضافة تعليق جديد على طلبك,legitimate
تذكير بموعد الصيانة الدورية,legitimate
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
تم تأكيد حجزك بنجاح,legitimate
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
يرجى تحديث كلمة المرور الخاصة بك فوراً لتجنب إيقاف الحساب,phishing
نتائج الاختبارات متاحة الآن عبر البوابة,legitimate
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
تم استلام طلبك وسيتم التواصل معك قريباً,legitimate
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
تم استلام طلبك وسيتم التواصل معك قريباً,legitimate
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
تم إرسال الفاتورة الشهرية الخاصة بك,legitimate
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
نتائج الاختبارات متاحة الآن عبر البوابة,legitimate
تذكير بموعد الصيانة الدورية,legitimate
نتائج الاختبارات متاحة الآن عبر البوابة,legitimate
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
تم إرسال الفاتورة الشهرية الخاصة بك,legitimate
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
تذكير بموعد الصيانة الدورية,legitimate
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
شكراً لتواصلك معنا,legitimate
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
نتائج الاختبارات متاحة الآن عبر البوابة,legitimate
شكراً لتواصلك معنا,legitimate
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
تذكير بموعد الصيانة الدورية,legitimate
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
تم إرسال الفاتورة الشهرية الخاصة بك,legitimate
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
تم إرسال الفاتورة الشهرية الخاصة بك,legitimate
دعوة لحضور ورشة العمل القادمة,legitimate
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
تمت إضافة تعليق جديد على طلبك,legitimate
تم تأكيد حجزك بنجاح,legitimate
تم تعليق حسابك بسبب مشكلة في الفوترة,phishing
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
سيتم حذف حسابك إذا لم يتم التحقق فوراً,phishing
شكراً لتواصلك معنا,legitimate
لقد فزت بجائزة مالية كبيرة اضغط لاستلامها,phishing
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
شكراً لتواصلك معنا,legitimate
اجتماع الفريق غداً الساعة 10 صباحاً,legitimate
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
تم إرسال الفاتورة الشهرية الخاصة بك,legitimate
تمت إضافة تعليق جديد على طلبك,legitimate
تم اكتشاف نشاط مشبوه في حسابك يرجى التحقق الآن,phishing
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
سيتم حذف حسابك إذا لم يتم التحقق فوراً,phishing
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
دعوة لحضور ورشة العمل القادمة,legitimate
نتائج الاختبارات متاحة الآن عبر البوابة,legitimate
طلب عاجل لتأكيد هويتك الإلكترونية,phishing
تذكير بموعد الصيانة الدورية,legitimate
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
تذكير بموعد الصيانة الدورية,legitimate
تذكير بموعد الصيانة الدورية,legitimate
قم بتأكيد بياناتك البنكية خلال 24 ساعة,phishing
تمت إضافة تعليق جديد على طلبك,legitimate
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
حسابك البنكي موقوف اضغط هنا لإعادة التفعيل,phishing
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
اضغط على الرابط أدناه لتحديث معلوماتك,phishing
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
تحذير أمني يرجى تغيير كلمة المرور الآن,phishing
يرجى تحديث كلمة المرور الخاصة بك فوراً لتجنب إيقاف الحساب,phishing
تم تحديث سياسة الخصوصية الخاصة بنا,legitimate
